,install_dt,installs,Day1_rention
0,2019-12-05,2,0.5
1,2016-10-22,1,0.0
2,2020-03-08,1,0.0
3,2016-08-11,1,1.0
4,2018-01-15,1,1.0
5,2019-06-13,2,0.5
6,2015-03-27,1,1.0
7,2018-02-20,1,0.0
8,2022-10-19,1,0.0
9,2018-06-10,2,0.5
10,2022-10-04,1,0.0
11,2021-11-18,2,0.0
12,2015-03-02,1,0.0
13,2017-12-31,1,1.0
14,2020-10-30,1,1.0
15,2015-10-26,1,1.0
16,2018-04-15,1,0.0
17,2018-11-13,1,0.0
18,2017-06-11,1,0.0
19,2017-07-09,1,1.0
20,2020-04-09,1,0.0
21,2020-09-02,1,0.0
22,2018-01-31,1,0.0
23,2020-05-05,1,1.0
24,2019-09-30,1,0.0
25,2018-08-25,1,1.0
26,2017-06-19,1,0.0
27,2022-11-09,1,0.0
28,2015-05-05,3,1.0
29,2017-03-05,2,1.0
30,2020-12-06,1,0.0
31,2017-10-24,1,1.0
32,2015-11-05,3,1.0
33,2020-04-25,2,0.5
34,2019-04-12,2,0.0
35,2018-05-14,1,1.0
36,2019-05-31,1,0.0
37,2016-06-14,1,1.0
38,2015-09-06,1,1.0
39,2019-08-24,1,0.0
40,2018-03-14,1,0.0
41,2017-02-12,1,1.0
42,2018-07-06,1,1.0
43,2015-05-23,1,1.0
44,2015-11-24,1,1.0
45,2017-11-04,1,1.0
46,2015-04-25,1,1.0
47,2015-04-23,1,0.0
48,2019-02-20,2,0.5
49,2015-06-08,1,1.0
50,2020-12-14,1,0.0
51,2019-09-07,1,1.0
52,2021-03-07,1,0.0
53,2015-04-28,2,1.0
54,2016-02-26,1,0.0
55,2019-10-06,2,0.5
56,2021-02-28,2,0.0
57,2021-03-19,1,0.0
58,2020-01-24,1,1.0
59,2015-11-09,1,0.0
60,2020-02-02,1,1.0
61,2019-06-05,1,1.0
62,2015-09-24,1,1.0
63,2016-11-04,1,0.0
64,2019-05-29,2,0.0
65,2017-03-21,1,0.0
66,2016-10-05,1,1.0
67,2022-08-05,1,0.0
68,2020-03-22,1,1.0
69,2022-10-03,1,0.0
70,2015-10-12,1,1.0
71,2021-04-21,1,0.0
72,2022-11-22,2,0.0
73,2017-05-22,1,0.0
74,2020-02-21,1,0.0
75,2015-11-11,1,1.0
76,2016-05-29,1,1.0
77,2020-11-14,1,1.0
78,2021-12-01,1,0.0
79,2016-09-23,1,0.0
80,2017-05-31,1,1.0
81,2017-06-02,1,1.0
82,2015-08-20,2,0.5
83,2015-07-23,2,0.5
84,2018-04-12,1,1.0
85,2016-11-05,1,1.0
86,2018-07-31,1,0.0
87,2015-08-15,1,1.0
88,2016-05-01,1,1.0
89,2016-10-30,1,1.0
90,2018-11-08,2,0.5
91,2016-09-20,1,0.0
92,2017-09-29,1,0.0
93,2015-10-28,2,0.5
94,2015-01-25,2,0.5
95,2019-08-14,1,0.0
96,2015-10-31,1,1.0
97,2015-02-16,2,1.0
98,2016-07-13,1,1.0
99,2015-03-15,2,0.5
100,2020-05-31,1,0.0
101,2017-03-24,1,1.0
102,2018-12-16,1,0.0
103,2016-07-26,1,1.0
104,2016-08-27,1,1.0
105,2019-05-13,1,0.0
106,2020-05-18,1,1.0
107,2015-04-14,1,1.0
108,2016-02-01,2,0.0
109,2017-05-01,1,1.0
110,2017-10-11,1,1.0
111,2018-05-02,1,0.0
112,2017-12-19,2,1.0
113,2020-07-08,1,1.0
114,2019-01-15,2,0.5
115,2015-08-01,1,1.0
116,2020-02-25,2,0.5
117,2019-10-22,2,0.5
118,2017-01-29,1,1.0
119,2016-09-04,1,1.0
120,2016-04-22,1,1.0
121,2015-07-01,1,1.0
122,2018-04-19,1,1.0
123,2018-12-01,1,1.0
124,2019-01-07,1,0.0
125,2018-04-24,1,1.0
126,2015-08-05,1,1.0
127,2015-06-06,1,1.0
128,2015-10-14,1,1.0
129,2018-04-20,1,0.0
130,2019-10-23,1,0.0
131,2021-05-16,1,1.0
132,2017-12-24,1,1.0
133,2021-08-16,1,0.0
134,2015-01-18,1,0.0
135,2022-05-20,1,0.0
136,2019-04-29,2,0.5
137,2019-09-22,1,1.0
138,2020-09-17,1,1.0
139,2020-10-20,1,1.0
140,2015-04-29,1,1.0
141,2020-07-31,1,0.0
142,2017-07-07,1,1.0
143,2015-02-15,1,1.0
144,2015-09-03,1,1.0
145,2016-01-03,1,1.0
146,2017-10-25,1,1.0
147,2019-11-04,1,1.0
148,2017-09-30,1,1.0
149,2015-11-03,1,1.0
150,2015-02-13,1,0.0
151,2019-04-19,1,0.0
152,2015-04-09,1,1.0
153,2015-01-19,2,1.0
154,2016-07-27,1,1.0
155,2021-02-23,1,1.0
156,2018-06-18,1,1.0
157,2017-05-07,1,1.0
158,2015-01-28,1,1.0
159,2019-07-22,1,0.0
160,2016-12-03,2,0.5
161,2017-06-05,1,0.0
162,2016-03-07,1,0.0
163,2016-03-14,1,0.0
164,2015-07-07,1,1.0
165,2020-05-15,1,1.0
166,2021-07-11,1,0.0
167,2021-07-07,2,0.5
168,2020-02-07,1,0.0
169,2021-01-12,1,0.0
170,2022-11-12,1,0.0
171,2017-09-10,1,0.0
172,2022-05-26,1,0.0
173,2015-07-18,1,1.0
174,2017-08-01,1,0.0
175,2016-09-13,2,0.5
176,2015-08-24,1,1.0
177,2019-08-28,1,0.0
178,2021-01-30,1,0.0
179,2015-08-16,1,0.0
180,2015-12-31,1,0.0
181,2020-10-06,2,0.5
182,2018-11-18,1,1.0
183,2019-05-26,1,0.0
184,2015-05-22,1,1.0
185,2019-11-02,1,1.0
186,2019-06-09,1,0.0
187,2015-08-19,1,1.0
188,2016-09-29,1,1.0
189,2022-09-06,1,0.0
190,2015-10-22,1,1.0
191,2019-07-25,2,0.5
192,2017-04-22,1,1.0
193,2016-08-19,1,1.0
194,2016-04-21,1,1.0
195,2016-08-07,1,0.0
196,2021-03-29,1,0.0
197,2022-06-24,1,0.0
198,2020-09-22,1,0.0
199,2018-10-07,1,0.0
200,2017-08-02,1,1.0
201,2017-06-23,1,0.0
202,2017-11-01,1,1.0
203,2015-03-09,1,1.0
204,2021-04-01,1,0.0
205,2016-11-21,1,1.0
206,2018-10-12,1,1.0
207,2016-03-24,4,0.75
208,2018-06-02,1,1.0
209,2017-10-27,1,0.0
210,2019-08-03,1,0.0
211,2015-12-04,2,0.5
212,2020-09-07,1,0.0
213,2015-01-30,2,1.0
214,2016-11-13,1,1.0
215,2021-08-17,1,0.0
216,2016-06-02,2,0.5
217,2016-12-23,1,0.0
218,2020-06-03,1,0.0
219,2021-05-12,1,1.0
220,2015-11-21,1,1.0
221,2018-07-21,1,1.0
222,2022-08-31,1,0.0
223,2017-10-29,1,1.0
224,2017-02-14,1,1.0
225,2019-10-05,1,0.0
226,2018-08-15,1,0.0
227,2016-05-07,1,1.0
228,2015-07-30,1,1.0
229,2016-01-27,1,1.0
230,2019-04-11,1,1.0
231,2019-06-15,1,1.0
232,2019-09-04,1,0.0
233,2019-04-23,1,1.0
234,2021-04-03,1,1.0
235,2015-07-25,1,0.0
236,2016-11-24,1,1.0
237,2019-05-10,1,0.0
238,2017-09-01,1,0.0
239,2018-11-14,1,1.0
240,2015-03-10,1,1.0
241,2015-04-17,1,1.0
242,2021-12-29,1,0.0
243,2022-12-13,1,0.0
244,2015-09-21,1,0.0
245,2016-04-01,1,1.0
246,2015-11-10,1,0.0
247,2016-12-30,1,0.0
248,2021-05-19,1,0.0
249,2020-05-24,1,0.0
250,2016-09-22,1,1.0
251,2020-12-24,1,0.0
252,2016-01-10,1,1.0
253,2018-01-05,2,0.5
254,2019-07-27,1,0.0
255,2021-10-12,1,0.0
256,2018-04-03,1,0.0
257,2018-07-26,1,0.0
258,2015-07-20,1,1.0
259,2016-04-14,1,1.0
260,2021-07-01,1,0.0
261,2015-10-08,1,1.0
262,2015-12-20,1,0.0
263,2016-09-07,1,1.0
264,2016-03-10,1,1.0
265,2019-04-20,1,0.0
266,2020-10-22,2,0.5
267,2015-06-04,1,0.0
268,2017-07-12,1,0.0
269,2015-04-27,1,1.0
270,2015-06-01,1,1.0
271,2018-04-23,1,0.0
272,2017-06-07,1,1.0
273,2019-02-03,2,0.0
274,2017-05-12,1,0.0
275,2016-04-03,2,1.0
276,2022-12-02,1,0.0
277,2016-12-26,1,1.0
278,2015-12-22,1,1.0
279,2015-06-14,1,1.0
280,2019-04-13,1,1.0
281,2015-04-07,1,1.0
282,2016-05-03,1,1.0
283,2015-09-05,1,0.0
284,2020-03-19,1,0.0
285,2018-03-06,2,0.5
286,2017-12-01,1,1.0
287,2017-06-03,1,0.0
288,2017-01-20,1,0.0
289,2016-09-25,2,0.0
290,2017-04-29,1,1.0
291,2022-07-12,1,0.0
292,2019-12-22,1,0.0
293,2016-12-16,1,0.0
294,2017-02-06,1,1.0
295,2020-12-12,1,0.0
296,2018-03-25,1,1.0
297,2020-11-09,1,0.0
298,2016-05-25,1,0.0
299,2015-07-05,2,0.5
300,2021-04-30,2,0.0
301,2019-10-10,1,0.0
302,2018-07-11,1,1.0
303,2017-08-28,1,1.0
304,2016-11-23,1,0.0
305,2017-12-12,1,0.0
306,2016-11-22,1,0.0
307,2015-06-29,1,1.0
308,2019-07-19,1,1.0
309,2016-10-18,1,1.0
310,2022-11-06,1,0.0
311,2021-01-17,1,1.0
312,2015-03-29,1,1.0
313,2016-12-17,1,0.0
314,2019-09-11,2,0.5
315,2022-12-07,1,0.0
316,2020-07-24,1,0.0
317,2020-01-26,1,0.0
318,2016-08-05,1,0.0
319,2016-10-14,1,1.0
320,2017-12-16,3,0.0
321,2020-01-04,1,0.0
322,2017-05-15,1,1.0
323,2017-10-02,1,0.0
324,2016-05-11,1,0.0
325,2018-01-07,1,0.0
326,2016-07-10,1,1.0
327,2018-03-22,1,0.0
328,2015-07-31,1,1.0
329,2021-10-19,1,0.0
330,2015-08-06,1,0.0
331,2019-03-27,1,0.0
332,2018-08-28,1,1.0
333,2022-03-08,3,0.0
334,2017-04-19,1,0.0
335,2019-12-28,1,1.0
336,2015-07-10,1,1.0
337,2016-03-29,2,0.5
338,2020-10-26,1,0.0
339,2015-10-20,1,0.0
340,2018-05-26,1,0.0
341,2019-03-04,1,1.0
342,2015-03-06,1,0.0
343,2015-05-12,1,0.0
344,2016-11-10,1,0.0
345,2020-02-24,1,0.0
346,2015-05-26,1,1.0
347,2015-02-07,1,1.0
348,2020-12-16,1,0.0
349,2020-12-19,1,0.0
350,2020-04-04,1,0.0
351,2019-06-03,1,0.0
352,2018-08-16,1,1.0
353,2018-05-10,1,0.0
354,2015-01-05,1,1.0
355,2017-03-18,1,0.0
356,2017-01-23,2,0.0
357,2020-02-13,1,0.0
358,2020-02-15,1,0.0
359,2017-11-22,1,1.0
360,2018-05-24,1,1.0
361,2016-10-11,1,1.0
362,2016-06-21,1,0.0
363,2016-06-26,1,0.0
364,2021-07-09,1,0.0
365,2015-05-31,1,1.0
366,2015-01-16,1,0.0
367,2022-02-08,1,1.0
368,2015-02-20,1,1.0
369,2017-11-24,1,1.0
370,2017-07-24,1,1.0
371,2016-09-02,3,0.3333333333333333
372,2020-03-13,1,1.0
373,2016-06-24,1,1.0
374,2015-03-14,1,0.0
375,2018-04-01,1,1.0
376,2017-02-18,1,1.0
377,2018-03-24,1,0.0
378,2019-09-14,1,0.0
379,2017-10-09,1,1.0
380,2021-02-19,1,0.0
381,2015-07-27,2,0.5
382,2018-11-30,2,0.0
383,2018-06-07,1,0.0
384,2016-03-08,1,0.0
385,2019-07-09,1,1.0
386,2018-03-30,1,0.0
387,2018-07-09,1,1.0
388,2018-11-09,1,0.0
389,2021-06-07,1,0.0
390,2016-02-29,1,1.0
391,2022-09-09,2,0.0
392,2017-11-16,1,1.0
393,2022-11-19,1,0.0
394,2018-02-21,1,0.0
395,2019-09-18,1,1.0
396,2019-01-16,1,0.0
397,2018-06-11,1,0.0
398,2019-06-28,1,1.0
399,2022-10-27,1,0.0
400,2017-09-12,1,0.0
401,2015-01-17,1,1.0
402,2019-05-20,1,0.0
403,2018-11-15,1,0.0
404,2021-01-09,1,1.0
405,2020-07-10,1,0.0
406,2021-02-21,1,0.0
407,2018-01-23,1,0.0
408,2018-05-28,1,0.0
409,2017-03-27,1,0.0
410,2022-03-16,1,0.0
411,2019-12-27,1,1.0
412,2022-11-15,1,0.0
413,2018-03-01,1,0.0
414,2015-06-07,1,0.0
415,2022-06-28,1,0.0
416,2021-05-24,1,0.0
417,2021-10-18,2,0.0
418,2018-05-30,1,1.0
419,2020-06-28,1,0.0
420,2018-03-18,1,0.0
421,2016-08-12,1,0.0
422,2022-02-04,1,0.0
423,2022-01-24,1,0.0
424,2021-05-27,1,0.0
425,2015-08-12,1,1.0
426,2018-05-12,1,0.0
427,2022-09-10,1,0.0
428,2019-02-23,1,1.0
429,2015-02-03,1,1.0
430,2020-03-14,1,0.0
431,2016-01-14,1,0.0
432,2019-06-14,1,1.0
433,2015-06-09,1,0.0
434,2020-07-14,1,0.0
435,2015-05-11,1,1.0
436,2021-08-04,1,0.0
437,2021-09-02,1,0.0
438,2016-01-20,1,0.0
439,2022-09-21,1,0.0
440,2016-12-11,1,0.0
441,2020-04-02,1,0.0
442,2016-02-22,1,0.0
443,2016-07-06,1,1.0
444,2017-09-24,1,0.0
445,2018-07-20,1,0.0
446,2016-08-18,1,0.0
447,2020-06-25,1,1.0
448,2016-01-29,1,1.0
449,2019-07-23,1,0.0
450,2021-07-24,1,0.0
451,2016-12-09,1,0.0
452,2019-04-21,1,0.0
453,2017-09-05,1,0.0
454,2022-04-11,1,0.0
455,2017-02-17,1,1.0
456,2019-02-26,1,1.0
457,2018-10-08,1,0.0
458,2015-01-07,1,1.0
459,2021-02-26,1,0.0
460,2017-03-12,1,0.0
461,2018-05-07,1,0.0
462,2017-10-26,1,0.0
463,2020-01-07,1,0.0
464,2018-06-16,1,0.0
465,2016-06-11,1,0.0
466,2015-01-02,1,0.0
467,2018-08-30,1,1.0
468,2015-05-01,1,0.0
469,2022-10-13,1,0.0
470,2020-10-03,2,0.0
471,2018-05-03,1,1.0
472,2018-09-05,1,0.0
473,2021-08-03,1,0.0
474,2015-04-01,1,0.0
475,2016-04-12,1,0.0
476,2022-04-07,1,0.0
477,2017-03-09,1,1.0
478,2017-01-11,1,0.0
479,2021-06-12,1,1.0
480,2017-11-26,1,0.0
481,2021-05-26,1,0.0
482,2020-12-20,1,0.0
483,2017-08-10,1,0.0
484,2016-04-20,1,1.0
485,2021-10-21,1,0.0
486,2020-09-18,1,0.0
487,2015-06-17,1,0.0
488,2022-02-01,1,0.0
489,2020-06-18,1,1.0
490,2015-03-24,1,0.0
491,2015-05-21,1,0.0
492,2015-06-24,1,1.0
493,2015-11-04,1,1.0
494,2017-02-16,1,0.0
495,2022-09-05,1,0.0
496,2021-07-03,1,0.0
497,2021-08-26,1,0.0
498,2016-10-24,1,1.0
499,2018-03-09,1,0.0
500,2022-08-21,1,0.0
501,2016-12-04,1,1.0
502,2017-05-25,1,1.0
503,2019-10-08,1,1.0
504,2020-08-08,1,0.0
505,2015-04-26,1,0.0
506,2019-01-18,1,0.0
507,2020-09-24,1,0.0
508,2020-08-18,1,0.0
509,2018-05-18,1,0.0
510,2016-09-15,1,0.0
511,2017-08-23,1,1.0
512,2017-07-19,1,0.0
513,2020-11-07,1,1.0
514,2020-03-11,1,1.0
515,2016-05-12,1,0.0
516,2020-06-20,1,0.0
517,2018-09-01,1,0.0
518,2020-01-18,1,0.0
519,2018-11-19,1,0.0
520,2019-07-10,1,0.0
521,2019-11-01,1,0.0
522,2022-07-26,1,0.0
523,2021-05-23,1,0.0
524,2017-07-20,1,0.0
