,driver_id,join_date
0,0,2022-07-16
1,1,2022-01-26
2,2,2022-02-24
3,3,2022-12-27
4,4,2022-01-11
5,5,2022-01-10
6,6,2022-12-07
7,7,2022-10-01
8,8,2022-09-13
9,9,2022-07-01
10,10,2022-09-30
11,11,2022-02-25
12,12,2022-04-06
13,13,2022-12-14
14,14,2022-05-03
15,15,2022-11-02
16,16,2022-12-04
17,17,2022-06-07
18,18,2022-12-14
19,19,2022-03-15
20,20,2022-11-06
21,21,2022-12-02
22,22,2022-12-11
23,23,2022-07-13
24,24,2022-04-20
25,25,2022-04-14
26,26,2022-03-25
27,27,2022-03-10
28,28,2022-05-04
29,29,2022-08-24
30,30,2022-02-26
31,31,2022-01-10
32,32,2022-07-15
33,33,2022-05-25
34,34,2022-10-08
35,35,2022-12-06
36,36,2022-04-09
37,37,2022-03-23
38,38,2022-07-02
39,39,2022-10-14
40,40,2022-12-20
41,41,2022-02-19
42,42,2022-03-18
43,43,2022-06-30
44,44,2022-01-19
45,45,2022-09-13
46,46,2022-06-02
47,47,2022-04-24
48,48,2022-02-12
49,49,2022-10-29
