,ride_id,user_id,req_date
0,0,970,2022-06-05
1,1,709,2022-06-04
2,2,780,2022-01-10
3,3,116,2022-12-11
4,4,787,2022-10-09
5,5,710,2022-10-02
6,6,942,2022-09-27
7,7,610,2022-02-25
8,8,787,2022-08-11
9,9,306,2022-06-20
10,10,469,2022-05-14
11,11,187,2022-09-24
12,12,23,2022-08-23
13,13,762,2022-02-04
14,14,839,2022-06-21
15,15,251,2022-09-07
16,16,947,2022-11-04
17,17,446,2022-09-02
18,18,814,2022-02-19
19,19,439,2022-08-29
20,20,234,2022-12-10
21,21,496,2022-12-31
22,22,205,2022-04-07
23,23,387,2022-04-25
24,24,415,2022-11-24
25,25,860,2022-03-13
26,26,956,2022-07-29
27,27,514,2022-06-04
28,28,873,2022-12-04
29,29,879,2022-07-09
30,30,72,2022-06-06
31,31,602,2022-09-25
32,32,576,2022-03-03
33,33,218,2022-03-11
34,34,247,2022-12-15
35,35,664,2022-08-29
36,36,363,2022-06-13
37,37,658,2022-12-03
38,38,162,2022-03-12
39,39,645,2022-04-28
40,40,147,2022-04-11
41,41,348,2022-02-26
42,42,693,2022-01-12
43,43,389,2022-08-17
44,44,559,2022-09-01
45,45,610,2022-09-20
46,46,215,2022-06-12
47,47,638,2022-02-15
48,48,458,2022-06-19
49,49,497,2022-05-06
50,50,25,2022-07-21
51,51,331,2022-01-08
52,52,268,2022-09-03
53,53,21,2022-07-05
54,54,665,2022-08-19
55,55,473,2022-06-01
56,56,44,2022-12-11
57,57,4,2022-06-17
58,58,191,2022-11-11
59,59,729,2022-11-24
60,60,21,2022-08-14
61,61,707,2022-07-31
62,62,770,2022-07-06
63,63,830,2022-03-22
64,64,286,2022-05-06
65,65,787,2022-06-10
66,66,421,2022-09-19
67,67,165,2022-05-28
68,68,326,2022-04-15
69,69,949,2022-08-19
70,70,46,2022-04-19
71,71,619,2022-09-25
72,72,502,2022-04-23
73,73,573,2022-09-25
74,74,565,2022-04-28
75,75,959,2022-09-25
76,76,144,2022-07-26
77,77,998,2022-03-06
78,78,361,2022-04-12
79,79,994,2022-11-17
80,80,488,2022-02-02
81,81,66,2022-08-12
82,82,773,2022-05-07
83,83,350,2022-11-17
84,84,329,2022-08-21
85,85,853,2022-04-27
86,86,282,2022-11-18
87,87,336,2022-07-17
88,88,809,2022-09-01
89,89,586,2022-06-05
90,90,858,2022-11-15
91,91,694,2022-09-03
92,92,323,2022-12-26
93,93,623,2022-12-26
94,94,723,2022-09-13
95,95,616,2022-07-24
96,96,977,2022-08-21
97,97,154,2022-07-24
98,98,412,2022-07-21
99,99,904,2022-03-31
100,100,541,2022-02-01
101,101,697,2022-02-15
102,102,874,2022-07-30
103,103,428,2022-12-05
104,104,38,2022-04-29
105,105,648,2022-10-02
106,106,89,2022-09-30
107,107,886,2022-08-22
108,108,746,2022-09-30
109,109,741,2022-08-06
110,110,553,2022-06-10
111,111,883,2022-09-02
112,112,899,2022-11-11
113,113,174,2022-11-06
114,114,429,2022-05-18
115,115,137,2022-01-08
116,116,157,2022-01-22
117,117,322,2022-12-29
118,118,132,2022-09-03
119,119,902,2022-02-07
120,120,564,2022-08-15
121,121,974,2022-12-07
122,122,464,2022-10-28
123,123,823,2022-08-20
124,124,818,2022-06-11
125,125,424,2022-05-19
126,126,931,2022-02-26
127,127,455,2022-07-15
128,128,765,2022-11-29
129,129,566,2022-10-07
130,130,290,2022-10-09
131,131,622,2022-12-03
132,132,219,2022-12-16
133,133,903,2022-10-08
134,134,526,2022-11-05
135,135,122,2022-08-30
136,136,622,2022-10-07
137,137,547,2022-11-28
138,138,885,2022-04-11
139,139,508,2022-02-11
140,140,423,2022-01-02
141,141,76,2022-11-17
142,142,134,2022-03-10
143,143,922,2022-06-27
144,144,778,2022-11-23
145,145,828,2022-06-25
146,146,872,2022-12-25
147,147,667,2022-02-04
148,148,976,2022-11-29
149,149,187,2022-06-21
150,150,827,2022-08-30
151,151,297,2022-10-01
152,152,151,2022-09-11
153,153,692,2022-05-12
154,154,728,2022-09-12
155,155,882,2022-05-05
156,156,454,2022-08-04
157,157,859,2022-09-15
158,158,507,2022-09-10
159,159,738,2022-09-12
160,160,897,2022-09-10
161,161,356,2022-04-16
162,162,905,2022-03-04
163,163,874,2022-01-15
164,164,445,2022-06-19
165,165,337,2022-07-02
166,166,294,2022-10-01
167,167,706,2022-03-14
168,168,369,2022-04-28
169,169,87,2022-01-01
170,170,554,2022-06-24
171,171,511,2022-05-01
172,172,597,2022-01-21
173,173,676,2022-01-11
174,174,994,2022-11-02
175,175,99,2022-10-06
176,176,864,2022-11-21
177,177,242,2022-01-09
178,178,819,2022-01-13
179,179,885,2022-11-06
180,180,467,2022-12-28
181,181,588,2022-06-18
182,182,781,2022-12-30
183,183,421,2022-01-28
184,184,22,2022-08-31
185,185,503,2022-12-27
186,186,107,2022-01-27
187,187,167,2022-02-04
188,188,872,2022-05-23
189,189,148,2022-03-07
190,190,289,2022-09-01
191,191,765,2022-01-10
192,192,287,2022-01-09
193,193,934,2022-01-01
194,194,91,2022-08-20
195,195,984,2022-06-05
196,196,998,2022-04-04
197,197,525,2022-04-29
198,198,46,2022-10-03
199,199,22,2022-03-26
200,200,840,2022-06-02
201,201,453,2022-07-23
202,202,962,2022-11-07
203,203,418,2022-02-10
204,204,569,2022-02-06
205,205,60,2022-05-09
206,206,603,2022-02-13
207,207,892,2022-03-03
208,208,917,2022-03-01
209,209,221,2022-01-10
210,210,214,2022-12-12
211,211,959,2022-06-07
212,212,979,2022-02-26
213,213,443,2022-06-02
214,214,355,2022-05-21
215,215,783,2022-10-11
216,216,909,2022-06-28
217,217,434,2022-08-04
218,218,585,2022-02-24
219,219,749,2022-03-22
220,220,584,2022-03-02
221,221,21,2022-05-20
222,222,400,2022-10-28
223,223,739,2022-01-11
224,224,405,2022-01-08
225,225,882,2022-11-06
226,226,235,2022-02-24
227,227,891,2022-10-05
228,228,675,2022-09-19
229,229,772,2022-02-06
230,230,513,2022-09-13
231,231,426,2022-10-11
232,232,828,2022-01-29
233,233,361,2022-02-27
234,234,134,2022-02-28
235,235,947,2022-10-31
236,236,987,2022-11-08
237,237,738,2022-05-11
238,238,46,2022-03-22
239,239,830,2022-04-26
240,240,162,2022-05-14
241,241,145,2022-05-26
242,242,44,2022-01-02
243,243,201,2022-06-10
244,244,787,2022-10-19
245,245,965,2022-06-05
246,246,897,2022-04-18
247,247,812,2022-03-08
248,248,801,2022-11-07
249,249,283,2022-07-19
250,250,712,2022-12-06
251,251,691,2022-04-18
252,252,30,2022-08-13
253,253,708,2022-08-23
254,254,984,2022-03-16
255,255,379,2022-05-14
256,256,963,2022-07-05
257,257,209,2022-10-23
258,258,590,2022-11-25
259,259,801,2022-10-06
260,260,543,2022-10-30
261,261,996,2022-08-05
262,262,241,2022-05-13
263,263,772,2022-12-25
264,264,313,2022-02-14
265,265,322,2022-08-11
266,266,699,2022-05-20
267,267,740,2022-03-10
268,268,718,2022-05-26
269,269,296,2022-12-24
270,270,876,2022-03-15
271,271,541,2022-05-12
272,272,155,2022-02-12
273,273,999,2022-11-14
274,274,876,2022-05-31
275,275,945,2022-01-11
276,276,471,2022-12-08
277,277,479,2022-11-27
278,278,2,2022-02-28
279,279,219,2022-05-16
280,280,260,2022-08-15
281,281,483,2022-06-27
282,282,164,2022-12-19
283,283,371,2022-11-02
284,284,819,2022-10-13
285,285,591,2022-12-18
286,286,553,2022-10-11
287,287,785,2022-03-15
288,288,346,2022-01-17
289,289,686,2022-02-03
290,290,411,2022-01-30
291,291,667,2022-06-28
292,292,831,2022-05-29
293,293,309,2022-08-06
294,294,492,2022-10-30
295,295,433,2022-10-14
296,296,610,2022-08-09
297,297,895,2022-08-29
298,298,315,2022-03-20
299,299,654,2022-03-08
300,300,9,2022-11-04
301,301,572,2022-03-11
302,302,429,2022-07-26
303,303,925,2022-01-31
304,304,551,2022-09-24
305,305,834,2022-11-26
306,306,645,2022-08-19
307,307,620,2022-09-24
308,308,852,2022-05-05
309,309,915,2022-06-18
310,310,18,2022-04-10
311,311,433,2022-03-15
312,312,565,2022-01-29
313,313,720,2022-08-29
314,314,855,2022-09-16
315,315,426,2022-12-03
316,316,15,2022-02-04
317,317,795,2022-04-11
318,318,561,2022-10-31
319,319,277,2022-11-26
320,320,839,2022-10-11
321,321,337,2022-11-19
322,322,23,2022-12-03
323,323,394,2022-03-12
324,324,797,2022-11-29
325,325,272,2022-01-08
326,326,840,2022-07-19
327,327,922,2022-01-06
328,328,382,2022-01-21
329,329,302,2022-04-23
330,330,873,2022-12-17
331,331,678,2022-06-17
332,332,463,2022-09-04
333,333,880,2022-06-28
334,334,793,2022-09-15
335,335,423,2022-04-23
336,336,202,2022-07-02
337,337,121,2022-09-12
338,338,717,2022-04-15
339,339,574,2022-03-12
340,340,622,2022-01-22
341,341,374,2022-05-20
342,342,61,2022-09-21
343,343,280,2022-04-25
344,344,998,2022-01-06
345,345,36,2022-10-14
346,346,805,2022-06-07
347,347,21,2022-10-22
348,348,564,2022-03-20
349,349,555,2022-06-17
350,350,716,2022-07-12
351,351,215,2022-08-28
352,352,667,2022-04-14
353,353,721,2022-06-12
354,354,281,2022-09-22
355,355,643,2022-02-26
356,356,246,2022-10-13
357,357,126,2022-07-29
358,358,817,2022-08-18
359,359,508,2022-08-17
360,360,444,2022-01-18
361,361,914,2022-06-30
362,362,521,2022-11-28
363,363,228,2022-07-25
364,364,584,2022-09-02
365,365,594,2022-01-26
366,366,288,2022-01-01
367,367,219,2022-03-23
368,368,978,2022-11-26
369,369,307,2022-11-08
370,370,68,2022-08-25
371,371,588,2022-03-12
372,372,618,2022-08-11
373,373,553,2022-09-30
374,374,199,2022-09-27
375,375,631,2022-05-30
376,376,214,2022-12-22
377,377,581,2022-05-11
378,378,113,2022-01-26
379,379,248,2022-08-20
380,380,958,2022-09-23
381,381,785,2022-12-28
382,382,501,2022-12-08
383,383,686,2022-01-23
384,384,84,2022-07-10
385,385,970,2022-07-10
386,386,274,2022-02-03
387,387,912,2022-02-24
388,388,47,2022-01-22
389,389,537,2022-03-13
390,390,617,2022-05-29
391,391,72,2022-03-07
392,392,316,2022-05-28
393,393,905,2022-08-27
394,394,997,2022-05-29
395,395,49,2022-06-26
396,396,761,2022-09-09
397,397,133,2022-07-09
398,398,595,2022-02-16
399,399,316,2022-06-09
400,400,484,2022-02-27
401,401,767,2022-06-11
402,402,497,2022-02-17
403,403,338,2022-02-04
404,404,454,2022-10-22
405,405,638,2022-12-21
406,406,794,2022-02-26
407,407,234,2022-01-29
408,408,394,2022-07-30
409,409,954,2022-06-02
410,410,391,2022-02-21
411,411,337,2022-01-27
412,412,546,2022-12-21
413,413,284,2022-07-25
414,414,581,2022-06-18
415,415,799,2022-01-18
416,416,987,2022-03-25
417,417,489,2022-11-11
418,418,653,2022-04-18
419,419,799,2022-12-26
420,420,485,2022-01-29
421,421,626,2022-01-02
422,422,737,2022-12-05
423,423,338,2022-09-28
424,424,3,2022-07-24
425,425,407,2022-11-28
426,426,986,2022-05-27
427,427,105,2022-06-13
428,428,785,2022-04-21
429,429,758,2022-09-27
430,430,478,2022-12-15
431,431,379,2022-08-20
432,432,184,2022-09-05
433,433,419,2022-07-15
434,434,564,2022-01-30
435,435,413,2022-09-14
436,436,281,2022-11-30
437,437,31,2022-04-01
438,438,571,2022-11-26
439,439,919,2022-05-28
440,440,306,2022-11-01
441,441,191,2022-07-13
442,442,958,2022-03-05
443,443,537,2022-12-21
444,444,271,2022-09-29
445,445,784,2022-05-03
446,446,919,2022-04-02
447,447,344,2022-04-21
448,448,785,2022-01-18
449,449,455,2022-08-12
450,450,40,2022-10-01
451,451,966,2022-10-11
452,452,410,2022-10-07
453,453,343,2022-04-26
454,454,372,2022-11-19
455,455,564,2022-04-30
456,456,375,2022-01-27
457,457,326,2022-05-03
458,458,581,2022-11-12
459,459,559,2022-03-13
460,460,799,2022-01-05
461,461,819,2022-08-03
462,462,354,2022-03-14
463,463,870,2022-10-28
464,464,229,2022-02-08
465,465,97,2022-12-20
466,466,860,2022-04-09
467,467,344,2022-07-12
468,468,371,2022-09-28
469,469,351,2022-11-17
470,470,977,2022-09-20
471,471,15,2022-02-11
472,472,840,2022-02-13
473,473,70,2022-08-11
474,474,904,2022-04-10
475,475,139,2022-08-09
476,476,683,2022-11-30
477,477,378,2022-10-09
478,478,653,2022-12-29
479,479,478,2022-06-30
480,480,909,2022-07-05
