,ride_id,driver_id,ride_distance,ride_diration
0,17,49,72,144
1,68,42,87,105
2,100,38,88,106
3,144,2,78,114
4,149,33,96,121
5,165,27,97,119
6,215,27,99,120
7,237,33,98,137
8,249,49,83,132
9,257,14,37,112
10,311,45,93,102
11,363,27,77,130
12,365,26,10,107
13,376,0,65,101
14,402,23,80,121
15,437,29,36,103
16,438,39,61,105
17,443,34,13,127
18,511,37,4,107
19,561,40,43,133
20,579,37,8,128
21,597,33,71,129
22,628,9,6,121
23,663,1,18,129
24,703,27,55,142
25,741,43,5,115
26,746,25,46,116
27,763,47,56,117
28,764,42,92,112
29,772,23,11,128
30,808,33,90,133
31,814,9,49,150
32,818,47,42,127
33,866,49,42,129
34,891,49,33,119
35,919,8,23,142
36,948,39,35,102
37,959,16,70,149
38,993,9,24,117
39,996,43,91,132
