,0
0,1
1,3
2,4
3,6
4,11
5,13
6,15
7,16
8,27
9,29
10,30
11,34
12,35
13,41
14,43
15,44
16,45
17,47
18,56
19,58
20,64
21,67
22,72
23,73
24,81
25,90
26,91
27,94
28,96
29,98
30,104
31,105
32,109
33,114
34,116
35,120
36,122
37,123
38,124
39,127
40,132
41,140
42,145
43,146
44,147
45,150
46,154
47,162
48,164
49,167
50,168
51,173
52,177
53,193
54,196
55,198
56,200
57,206
58,209
59,211
60,214
61,219
62,222
63,224
64,228
65,230
66,237
67,238
68,242
69,245
70,248
71,251
72,253
73,256
74,262
75,263
76,265
77,267
78,268
79,269
80,271
81,274
82,278
83,279
84,283
85,287
86,288
87,291
88,294
89,298
90,302
91,314
92,318
93,323
94,329
95,330
96,333
97,334
98,335
99,336
100,338
101,345
102,348
103,351
104,354
105,356
106,357
107,359
108,361
109,363
110,370
111,374
112,375
113,376
114,386
115,395
116,397
117,401
118,402
119,404
120,405
121,408
122,409
123,411
124,414
125,418
126,420
127,425
128,427
129,428
130,431
131,433
132,436
133,441
134,450
135,453
136,454
137,458
138,465
139,469
140,472
141,473
142,475
143,477
144,478
145,488
146,489
147,497
148,498
149,500
150,503
151,504
152,513
153,516
154,517
155,518
156,519
157,522
158,527
159,529
160,534
161,535
162,536
163,537
164,538
165,540
166,541
167,542
168,544
169,553
170,554
171,558
172,559
173,561
174,563
175,564
176,565
177,566
178,571
179,573
180,577
181,583
182,584
183,590
184,598
185,599
186,602
187,605
188,606
189,608
190,609
191,612
192,614
193,620
194,630
195,632
196,637
197,639
198,641
199,647
200,650
201,652
202,655
203,656
204,657
205,660
206,663
207,664
208,667
209,671
210,672
211,676
212,680
213,681
214,684
215,692
216,693
217,694
218,695
219,697
220,701
221,702
222,703
223,704
224,707
225,708
226,714
227,715
228,716
229,718
230,722
231,723
232,732
233,742
234,747
235,748
236,749
237,750
238,751
239,753
240,758
241,759
242,761
243,765
244,770
245,771
246,775
247,776
248,781
249,782
250,786
251,788
252,791
253,794
254,796
255,800
256,801
257,808
258,809
259,818
260,820
261,821
262,822
263,828
264,831
265,835
266,836
267,837
268,844
269,849
270,851
271,853
272,856
273,857
274,858
275,859
276,864
277,865
278,867
279,872
280,877
281,881
282,891
283,893
284,895
285,899
286,900
287,910
288,916
289,917
290,920
291,922
292,925
293,931
294,946
295,947
296,953
297,954
298,958
299,959
300,961
301,966
302,967
303,969
304,971
305,974
306,975
307,976
308,977
309,979
310,981
311,982
312,984
313,986
314,990
315,992
316,993
317,997
318,1001
319,1006
320,1007
321,1013
322,1017
323,1019
324,1021
325,1022
326,1024
327,1025
328,1026
329,1029
330,1030
331,1032
332,1033
333,1034
334,1041
335,1044
336,1048
337,1052
338,1053
339,1055
340,1058
341,1062
342,1065
343,1068
344,1071
345,1079
346,1081
347,1086
348,1089
349,1095
350,1101
351,1102
352,1103
353,1104
354,1105
355,1107
356,1109
357,1121
358,1122
359,1124
360,1129
361,1131
362,1132
363,1137
364,1142
365,1144
366,1150
367,1155
368,1156
369,1160
370,1167
371,1168
372,1173
373,1178
374,1180
375,1181
376,1185
377,1186
378,1187
379,1191
380,1198
381,1206
382,1207
383,1214
384,1215
385,1219
386,1220
387,1224
388,1232
389,1233
390,1237
391,1240
392,1248
393,1255
394,1256
395,1264
396,1267
397,1268
398,1269
399,1270
400,1273
401,1274
402,1275
403,1276
404,1280
405,1283
406,1286
407,1288
408,1289
409,1292
410,1294
411,1295
412,1303
413,1306
414,1311
415,1312
416,1318
417,1320
418,1321
419,1322
420,1324
421,1325
422,1331
423,1335
424,1338
425,1340
426,1346
427,1353
428,1354
429,1357
430,1361
431,1362
432,1365
433,1367
434,1368
435,1373
436,1374
437,1375
438,1376
439,1378
440,1381
441,1382
442,1383
443,1386
444,1387
445,1388
446,1390
447,1391
448,1406
449,1414
450,1418
451,1422
452,1427
453,1428
454,1430
455,1433
456,1434
457,1435
458,1436
459,1438
460,1444
461,1445
462,1451
463,1452
464,1454
465,1455
466,1457
467,1460
468,1467
469,1479
470,1481
471,1484
472,1485
473,1487
474,1491
475,1494
476,1495
477,1496
478,1497
479,1499
480,1501
481,1502
482,1503
483,1506
484,1508
485,1509
486,1516
487,1517
488,1520
489,1522
490,1523
491,1527
492,1529
493,1530
494,1531
495,1533
496,1538
497,1539
498,1550
499,1554
500,1557
501,1560
502,1564
503,1567
504,1569
505,1570
506,1571
507,1578
508,1586
509,1587
510,1588
511,1589
512,1590
513,1594
514,1600
515,1601
516,1603
517,1606
518,1613
519,1616
520,1619
521,1624
522,1625
523,1627
524,1635
525,1638
526,1641
527,1644
528,1654
529,1655
530,1658
531,1661
532,1662
533,1663
534,1665
535,1666
536,1671
537,1673
538,1674
539,1675
540,1677
541,1678
542,1679
543,1681
544,1683
545,1686
546,1692
547,1700
548,1703
549,1706
550,1707
551,1711
552,1712
553,1713
554,1716
555,1726
556,1727
557,1740
558,1742
559,1746
560,1747
561,1748
562,1749
563,1754
564,1755
565,1760
566,1764
567,1766
568,1770
569,1771
570,1789
571,1790
572,1794
573,1795
574,1796
575,1797
576,1799
577,1805
578,1806
579,1807
580,1810
581,1813
582,1815
583,1818
584,1819
585,1820
586,1829
587,1830
588,1831
589,1832
590,1837
591,1851
592,1860
593,1861
594,1864
595,1868
596,1869
597,1872
598,1878
599,1879
600,1880
601,1881
602,1884
603,1885
604,1887
605,1888
606,1895
607,1896
608,1897
609,1898
610,1900
611,1907
612,1910
613,1911
614,1914
615,1916
616,1920
617,1921
618,1923
619,1926
620,1929
621,1930
622,1931
623,1935
624,1943
625,1947
626,1951
627,1954
628,1955
629,1959
630,1964
631,1967
632,1975
633,1976
634,1977
635,1980
636,1981
637,1983
638,1987
639,1991
640,1995
641,1997
642,2001
643,2009
644,2012
645,2017
646,2019
647,2020
648,2021
649,2023
650,2024
651,2029
652,2030
653,2039
654,2040
655,2043
656,2046
657,2047
658,2048
659,2051
660,2054
661,2061
662,2065
663,2067
664,2070
665,2073
666,2079
667,2080
668,2081
669,2082
670,2084
671,2088
672,2089
673,2091
674,2093
675,2094
676,2095
677,2107
678,2110
679,2111
680,2114
681,2116
682,2121
683,2122
684,2128
685,2129
686,2132
687,2134
688,2137
689,2138
690,2139
691,2142
692,2143
693,2149
694,2152
695,2155
696,2160
697,2163
698,2164
699,2168
700,2170
701,2173
702,2175
703,2179
704,2180
705,2183
706,2184
707,2187
708,2188
709,2198
710,2204
711,2205
712,2207
713,2212
714,2213
715,2217
716,2220
717,2221
718,2222
719,2223
720,2224
721,2225
722,2230
723,2237
724,2238
725,2239
726,2243
727,2246
728,2251
729,2252
730,2255
731,2259
732,2260
733,2271
734,2272
735,2273
736,2275
737,2276
738,2279
739,2282
740,2285
741,2289
742,2294
743,2296
744,2300
745,2305
746,2312
747,2320
748,2321
749,2323
750,2324
751,2325
752,2327
753,2328
754,2330
755,2333
756,2334
757,2343
758,2344
759,2346
760,2347
761,2349
762,2352
763,2353
764,2354
765,2358
766,2365
767,2370
768,2371
769,2372
770,2373
771,2382
772,2383
773,2384
774,2387
775,2389
776,2391
777,2396
778,2398
779,2400
780,2401
781,2409
782,2411
783,2412
784,2416
785,2422
786,2426
787,2427
788,2430
789,2431
790,2432
791,2435
792,2436
793,2439
794,2444
795,2445
796,2447
797,2451
798,2453
799,2454
800,2456
801,2459
802,2468
803,2470
804,2474
805,2476
806,2482
807,2486
808,2490
809,2501
810,2506
811,2510
812,2516
813,2519
814,2521
815,2522
816,2527
817,2530
818,2532
819,2535
820,2541
821,2545
822,2552
823,2553
824,2555
825,2556
826,2558
827,2563
828,2575
829,2584
830,2585
831,2590
832,2591
833,2592
834,2593
835,2594
836,2595
837,2597
838,2600
839,2601
840,2606
841,2612
842,2618
843,2619
844,2621
845,2627
846,2635
847,2636
848,2637
849,2641
850,2642
851,2643
852,2644
853,2652
854,2658
855,2663
856,2664
857,2667
858,2674
859,2675
860,2676
861,2677
862,2682
863,2689
864,2690
865,2691
866,2702
867,2707
868,2708
869,2712
870,2715
871,2717
872,2721
873,2732
874,2736
875,2738
876,2739
877,2742
878,2743
879,2744
880,2745
881,2748
882,2749
883,2751
884,2759
885,2764
886,2768
887,2769
888,2770
889,2779
890,2780
891,2781
892,2783
893,2786
894,2789
895,2793
896,2794
897,2796
898,2799
899,2804
900,2806
901,2812
902,2816
903,2817
904,2819
905,2821
906,2829
907,2830
908,2833
909,2836
910,2838
911,2839
912,2849
913,2855
914,2856
915,2857
916,2859
917,2862
918,2869
919,2870
920,2872
921,2876
922,2877
923,2879
924,2882
925,2885
926,2887
927,2888
928,2890
929,2896
930,2897
931,2898
932,2900
933,2901
934,2909
935,2911
936,2914
937,2916
938,2917
939,2920
940,2922
941,2925
942,2926
943,2927
944,2929
945,2930
946,2932
947,2934
948,2935
949,2941
950,2942
951,2944
952,2945
953,2946
954,2952
955,2953
956,2956
957,2958
958,2960
959,2961
960,2962
961,2963
962,2965
963,2966
964,2978
965,2980
966,2983
967,2987
968,2990
969,3002
970,3004
971,3009
972,3012
973,3015
974,3016
975,3018
976,3024
977,3028
978,3029
979,3038
980,3041
981,3050
982,3059
983,3060
984,3065
985,3066
986,3070
987,3072
988,3076
989,3077
990,3078
991,3080
992,3082
993,3085
994,3087
995,3089
996,3094
997,3096
998,3102
999,3103
1000,3109
1001,3110
1002,3111
1003,3114
1004,3119
1005,3126
1006,3127
1007,3132
1008,3133
1009,3135
1010,3138
1011,3147
1012,3148
1013,3150
1014,3151
1015,3155
1016,3156
1017,3158
1018,3161
1019,3167
1020,3168
1021,3170
1022,3180
1023,3182
1024,3185
1025,3194
1026,3196
1027,3198
1028,3199
1029,3202
1030,3205
1031,3209
1032,3210
1033,3214
1034,3217
1035,3220
1036,3227
1037,3228
1038,3234
1039,3240
1040,3241
1041,3244
1042,3248
1043,3252
1044,3259
1045,3269
1046,3274
1047,3277
1048,3279
1049,3281
1050,3282
1051,3283
1052,3288
1053,3289
1054,3292
1055,3295
1056,3298
1057,3302
1058,3303
1059,3307
1060,3308
1061,3309
1062,3310
1063,3315
1064,3316
1065,3317
1066,3318
1067,3320
1068,3321
1069,3322
1070,3324
1071,3326
1072,3329
1073,3331
1074,3332
1075,3336
1076,3342
1077,3344
1078,3346
1079,3350
1080,3351
1081,3353
1082,3354
1083,3368
1084,3370
1085,3372
1086,3376
1087,3378
1088,3380
1089,3382
1090,3388
1091,3389
1092,3390
1093,3394
1094,3397
1095,3398
1096,3402
1097,3405
1098,3406
1099,3407
1100,3410
