,id,month,Salary
0,3,3,39
1,9,4,54
2,2,11,77
3,6,3,77
4,8,12,10
5,4,2,60
6,4,3,410
7,4,6,13
8,4,12,55
9,1,10,23
10,10,1,71
11,10,3,501
12,10,4,2025
13,10,5,8043
14,10,6,26800
15,10,7,81865
16,10,8,231771
17,10,11,9
18,10,12,93
19,7,1,70
20,7,2,442
21,7,3,2059
22,7,4,7709
23,7,5,25442
24,7,6,76397
25,7,7,213920
26,7,8,566647
27,7,9,1435184
28,7,11,2476850
29,7,12,99
30,5,1,95
31,5,2,627
32,5,3,2943
33,5,4,11085
34,5,5,36645
35,5,6,110071
36,5,7,308005
37,5,8,814933
38,5,9,2061168
39,5,10,5022197
40,5,11,11858697
41,5,12,86
