,user_id,spend_date,platform,amount
0,115,2018-02-17,desktop,200
1,18,2016-01-11,mobile,300
2,179,2010-10-29,mobile,500
3,150,2014-12-16,mobile,500
4,65,2022-07-24,desktop,300
5,98,2010-11-24,mobile,900
6,85,2018-06-30,desktop,200
7,76,2010-12-04,mobile,800
8,88,2014-12-01,mobile,200
9,81,2010-06-11,desktop,700
10,19,2018-08-16,mobile,100
11,45,2020-02-23,mobile,700
12,17,2020-04-03,desktop,600
13,104,2020-06-06,desktop,700
14,195,2018-04-11,mobile,400
15,126,2011-11-19,desktop,100
16,157,2014-11-01,desktop,700
17,123,2012-07-17,mobile,900
18,145,2019-01-14,mobile,100
19,49,2020-05-29,desktop,700
20,72,2010-03-22,desktop,900
21,193,2014-06-17,desktop,300
22,165,2020-05-09,desktop,600
23,193,2018-01-27,mobile,700
24,16,2018-02-27,mobile,400
25,165,2016-11-26,desktop,600
26,2,2013-10-09,desktop,400
27,81,2013-08-03,mobile,900
28,153,2016-04-10,desktop,800
29,182,2011-12-09,desktop,900
30,80,2015-09-08,mobile,700
31,75,2019-04-16,desktop,900
32,71,2013-06-22,desktop,400
33,80,2012-09-01,desktop,200
34,133,2012-11-28,desktop,900
35,47,2012-01-14,mobile,200
36,15,2011-05-09,desktop,100
37,184,2019-03-05,mobile,300
38,165,2022-07-20,mobile,200
39,170,2015-10-22,mobile,400
40,41,2013-09-22,mobile,900
41,162,2021-04-05,mobile,800
42,39,2016-10-28,mobile,300
43,28,2021-05-31,desktop,400
44,22,2010-08-05,desktop,300
45,31,2019-11-29,desktop,400
46,171,2016-04-10,mobile,800
47,135,2022-03-04,desktop,400
48,155,2011-04-08,mobile,300
49,90,2012-12-10,desktop,200
50,180,2013-08-17,desktop,300
51,90,2018-09-11,desktop,200
52,124,2010-06-19,mobile,300
53,140,2018-12-17,mobile,900
54,110,2022-08-13,mobile,800
55,21,2016-03-28,desktop,100
56,137,2017-07-18,mobile,300
57,131,2012-04-17,mobile,600
58,173,2011-10-01,desktop,700
59,159,2015-04-17,desktop,100
60,177,2022-12-18,mobile,300
61,83,2019-12-28,mobile,500
62,85,2013-07-13,desktop,500
63,26,2018-01-05,desktop,800
64,75,2013-12-03,mobile,700
65,92,2022-05-03,mobile,300
66,151,2016-07-29,mobile,800
67,12,2018-04-23,desktop,500
68,42,2022-12-19,mobile,400
69,111,2021-04-16,desktop,500
70,90,2010-05-30,desktop,700
71,31,2011-10-22,desktop,500
72,35,2016-03-14,mobile,800
73,4,2019-02-24,desktop,800
74,15,2012-05-27,desktop,700
75,91,2015-07-24,desktop,200
76,193,2019-12-17,mobile,800
