,dates,desktop,mobile,both,total_users
0,2018-02-17,4400,4900,0,22
1,2016-01-11,4800,3800,900,16
2,2010-10-29,3400,5700,0,19
3,2014-12-16,2900,7600,700,19
4,2022-07-24,3400,8000,0,22
5,2010-11-24,4500,8500,0,25
6,2018-06-30,6500,4100,1100,21
7,2010-12-04,900,5200,0,15
8,2014-12-01,4600,3600,0,13
9,2010-06-11,5500,8500,0,25
10,2018-08-16,3800,5000,0,16
11,2020-02-23,2900,3600,0,13
12,2020-04-03,5400,3800,0,17
13,2020-06-06,2600,6500,1200,17
14,2018-04-11,3700,7800,0,18
15,2011-11-19,5000,5400,1800,20
16,2014-11-01,7900,2800,0,21
17,2012-07-17,6100,4500,0,20
18,2019-01-14,3100,3400,0,19
19,2020-05-29,7400,4900,0,26
20,2010-03-22,7600,5600,1300,21
21,2014-06-17,5400,5100,0,20
22,2020-05-09,6100,7400,2200,26
23,2018-01-27,4100,4300,0,21
24,2018-02-27,3600,9700,0,26
25,2016-11-26,4200,4000,1500,15
26,2013-10-09,6600,4800,600,22
27,2013-08-03,6500,3300,1000,19
28,2016-04-10,7700,3300,0,19
29,2011-12-09,6600,4200,0,25
30,2015-09-08,6300,5200,1200,20
31,2019-04-16,7000,7500,3100,25
32,2013-06-22,7000,7200,0,25
33,2012-09-01,3100,4900,1000,16
34,2012-11-28,9500,3200,2300,18
35,2012-01-14,2400,4200,1100,15
36,2011-05-09,2600,6000,0,16
37,2019-03-05,4900,6900,0,21
38,2022-07-20,4500,3700,2400,14
39,2015-10-22,2900,5800,0,17
40,2013-09-22,4100,5800,800,22
41,2021-04-05,4400,4500,0,19
42,2016-10-28,4800,2200,600,17
43,2021-05-31,5300,3800,0,18
44,2010-08-05,8300,7300,0,30
45,2019-11-29,2300,4400,0,13
46,2022-03-04,6400,2900,0,20
47,2011-04-08,5400,3600,3000,14
48,2012-12-10,7200,7900,1800,27
49,2013-08-17,3400,7200,1000,21
50,2018-09-11,3900,7000,0,21
51,2010-06-19,1700,6400,1100,17
52,2018-12-17,6600,6700,2900,22
53,2022-08-13,4300,9600,0,22
54,2016-03-28,6100,8700,0,31
55,2017-07-18,5500,9300,0,31
56,2012-04-17,6700,6200,600,26
57,2011-10-01,6200,2600,0,20
58,2015-04-17,8100,5200,0,25
59,2022-12-18,5000,6700,2400,18
60,2019-12-28,5700,7300,0,26
61,2013-07-13,6300,3700,0,24
62,2018-01-05,6300,3100,1000,17
63,2013-12-03,5000,4300,0,21
64,2022-05-03,4900,3000,2800,18
65,2016-07-29,5500,4700,0,16
66,2018-04-23,5700,3500,0,20
67,2022-12-19,5700,5300,0,23
68,2021-04-16,7300,3600,0,20
69,2010-05-30,7200,2800,0,18
70,2011-10-22,2900,6800,0,21
71,2016-03-14,3600,4800,0,15
72,2019-02-24,8700,5300,1600,19
73,2012-05-27,6100,4700,0,18
74,2015-07-24,4700,13000,3400,28
75,2019-12-17,4900,6300,1700,20
76,2014-10-25,8400,2500,1900,20
77,2016-06-18,5100,4500,0,19
78,2013-05-14,3100,6100,1500,16
79,2022-05-12,6100,6900,0,24
80,2021-11-18,3400,2700,600,13
81,2010-11-29,7000,5000,0,23
82,2015-03-04,1900,3900,0,14
83,2015-08-02,7300,3800,1600,24
84,2015-07-22,3200,3900,400,19
85,2013-01-23,5500,5500,0,22
86,2018-07-21,6100,4800,2700,21
87,2013-03-13,7300,3500,1200,21
88,2016-09-12,4800,6700,1400,25
89,2017-07-23,7800,8300,2900,26
90,2010-10-07,3700,2200,0,14
91,2013-04-21,5400,3800,0,19
92,2012-07-06,6200,3300,0,20
93,2015-01-15,4900,5100,0,17
94,2022-11-30,6900,7000,2400,17
95,2011-01-23,7600,2800,0,23
96,2012-09-11,7000,4900,0,27
97,2018-09-29,3200,5000,0,17
98,2022-10-08,4900,5800,900,22
99,2015-05-17,6300,5900,300,23
100,2022-11-19,4600,4500,0,16
101,2018-07-03,5800,4600,0,21
102,2020-02-05,6700,2900,1800,19
103,2010-10-10,3700,5900,1800,20
104,2020-05-26,5300,10200,1300,27
105,2010-12-30,3500,6000,1800,19
106,2010-05-03,5300,5900,0,21
107,2018-06-14,4400,8800,1900,29
108,2014-06-16,4300,6400,0,22
109,2013-11-11,6000,2800,0,20
110,2021-02-26,7900,8000,2200,26
111,2010-09-14,6100,3900,0,21
112,2013-05-08,8300,4100,0,27
113,2016-11-29,4700,11200,0,28
114,2019-07-07,6500,8000,700,26
115,2014-04-26,5700,3900,0,16
116,2013-06-24,8200,6300,900,26
117,2021-10-31,4600,8400,1300,24
118,2017-08-06,2900,4300,700,13
119,2016-07-18,7200,5700,1400,21
120,2013-12-30,3200,7600,1400,17
121,2010-02-02,7300,4800,1900,21
122,2012-09-08,5600,4600,0,19
123,2019-11-09,3600,3100,700,17
124,2014-09-24,4100,2900,2200,17
125,2014-08-15,4100,4100,800,16
126,2010-10-17,6000,3900,0,17
127,2015-11-08,2700,4100,0,13
128,2010-05-04,6300,6500,1800,19
129,2012-02-01,4500,5500,0,20
130,2010-12-05,3500,10300,2100,24
131,2018-12-15,5400,3900,0,20
132,2022-03-06,3200,2800,1200,17
133,2017-07-28,5800,5200,1400,20
134,2010-11-07,6600,4500,1000,20
135,2019-09-25,3700,5200,0,20
136,2017-08-29,5200,9800,1300,27
137,2022-09-11,7200,5900,1500,24
138,2017-07-21,7200,6700,900,27
139,2012-02-03,8300,5100,1700,25
140,2019-07-13,8200,5200,1000,25
141,2020-02-24,9100,3500,1400,18
142,2012-02-11,9300,2400,800,21
143,2013-01-17,1400,4000,0,14
144,2014-03-03,6500,5600,1400,20
145,2010-11-11,4500,6300,1100,17
146,2013-02-05,2200,8500,1300,20
147,2020-07-16,8400,8500,2100,34
148,2014-07-04,7700,2900,900,21
149,2011-04-21,2600,8100,1100,20
150,2016-03-16,5900,2100,600,14
151,2013-06-17,7100,5100,0,23
152,2016-03-05,5600,3200,3600,17
153,2020-08-10,6400,3600,0,18
154,2018-09-14,6600,5500,0,23
155,2017-11-03,5100,3000,0,15
156,2012-04-09,6300,6100,1600,22
157,2020-06-11,6000,5400,0,24
158,2014-08-14,6100,3500,0,19
159,2015-05-07,3900,5300,0,18
160,2018-01-10,4100,5700,0,22
161,2013-06-19,3100,1800,0,11
162,2011-12-17,6500,4000,600,19
163,2021-04-22,6800,3000,0,18
164,2012-09-03,5700,3200,2200,13
165,2013-02-01,4400,5300,0,19
166,2019-06-17,3900,2500,0,16
167,2019-09-11,5600,6400,1300,19
168,2019-08-02,7000,4600,1400,21
169,2021-12-17,7900,3100,400,21
