0,4,2020-08-06,8
1,3,2020-06-01,7
2,5,2020-05-02,6
3,6,2020-12-18,7
4,3,2020-07-19,3
5,1,2020-08-17,8
6,3,2020-12-28,7
7,6,2020-02-09,7
8,7,2020-05-27,5
9,6,2020-05-31,8
10,1,2020-11-06,1
11,4,2020-09-19,6
12,2,2020-04-19,2
13,5,2020-05-17,6
14,2,2020-06-16,6
15,9,2020-12-06,9
16,5,2020-07-16,2
17,1,2020-04-24,8
18,4,2020-08-29,1
19,1,2020-05-04,4
20,8,2020-04-27,2
21,3,2020-03-29,9
22,8,2020-10-23,6
23,8,2020-10-17,9
24,1,2020-08-29,10
25,4,2020-06-12,5
26,8,2020-06-26,8
27,3,2020-02-26,10
28,8,2020-11-22,4
29,7,2020-12-05,9
30,3,2020-03-01,7
31,5,2020-10-22,1
32,6,2020-05-12,4
33,2,2020-02-25,6
34,2,2020-09-18,4
35,3,2020-09-05,5
36,8,2020-11-16,3
37,2,2020-03-29,8
38,10,2020-05-29,9
39,9,2020-10-17,8
40,4,2020-02-17,3
41,10,2020-11-02,9
42,6,2020-06-24,8
43,5,2020-11-10,4
44,1,2020-07-07,10
45,1,2020-11-26,4
46,2,2020-02-03,2
47,4,2020-11-06,5
48,3,2020-10-26,2
49,8,2020-09-23,4
50,3,2020-03-15,1
51,1,2020-06-29,8
52,5,2020-12-26,10
53,5,2020-08-18,8
54,5,2020-11-03,6
55,2,2020-11-14,7
56,6,2020-09-20,6
57,6,2020-11-20,2
58,4,2020-07-12,8
59,9,2020-12-22,8
60,8,2020-11-05,7
61,9,2020-05-02,3
62,6,2020-01-07,5
63,9,2020-11-14,3
64,5,2020-04-12,5
65,3,2020-10-07,6
66,5,2020-07-01,5
67,2,2020-04-22,4
68,7,2020-01-24,4
69,6,2020-10-06,5
70,1,2020-06-10,7
71,9,2020-10-24,5
72,5,2020-03-26,6
73,3,2020-05-04,1
74,4,2020-02-26,9
75,8,2020-10-03,8
76,2,2020-05-17,1
77,4,2020-10-20,3
78,7,2020-07-10,1
79,4,2020-03-11,2
80,7,2020-01-18,9
81,3,2020-07-17,1
82,3,2020-09-11,3
83,8,2020-07-26,9
84,7,2020-04-28,6
85,4,2020-11-04,7
86,6,2020-03-14,5
87,8,2020-08-22,10
88,4,2020-09-11,1
89,1,2020-10-21,9
90,10,2020-07-30,3
91,10,2020-10-14,2
92,4,2020-02-09,8
93,2,2020-02-06,2
94,5,2020-04-07,10
95,8,2020-07-28,7
96,3,2020-02-27,10
97,3,2020-10-10,1
98,4,2020-11-26,7
99,3,2020-03-09,6
