,caller_id,recipient_id,date
0,235862,281689,2022-01-20
1,282045,283603,2022-12-13
2,464124,105192,2022-05-14
3,309100,185592,2022-03-15
4,394329,328006,2022-07-04
5,330021,259619,2022-09-07
6,361052,283117,2022-07-12
7,22950,389733,2022-06-12
8,182643,380542,2022-10-29
9,436037,76525,2022-04-12
10,76227,441199,2022-12-17
11,428505,196529,2022-04-01
12,176097,422302,2022-11-01
13,380967,273861,2022-01-14
14,78751,215557,2022-08-02
15,120759,385424,2022-06-09
16,399198,1062,2022-06-30
17,335834,238919,2022-12-15
18,106296,339229,2022-03-12
19,187317,471145,2022-01-19
20,475,100649,2022-01-16
21,375598,418256,2022-03-12
22,99373,279756,2022-04-08
23,262448,329519,2022-08-07
24,94237,484950,2022-10-23
25,243588,394373,2022-07-04
26,433850,317734,2022-02-17
27,113702,214544,2022-06-03
28,477288,69497,2022-11-17
29,337834,188173,2022-12-20
30,207626,198345,2022-06-03
31,294555,315803,2022-12-22
32,211551,324718,2022-01-14
33,411264,463511,2022-11-14
34,258699,64963,2022-04-17
35,33730,406026,2022-05-21
36,57877,369654,2022-08-26
37,224580,266294,2022-12-12
38,130310,104209,2022-02-20
39,125024,143194,2022-05-06
40,427584,370588,2022-04-04
41,221915,438455,2022-10-01
42,159456,170984,2022-07-22
43,211093,180431,2022-07-01
44,494127,396869,2022-04-23
45,178331,32348,2022-11-15
46,173436,222816,2022-05-30
47,88194,187107,2022-02-22
48,247887,60709,2022-06-01
49,498811,402550,2022-01-06
50,478525,269040,2022-06-12
51,367657,173245,2022-04-24
52,315609,414881,2022-09-04
53,291881,439417,2022-07-11
54,359497,407144,2022-11-21
55,496791,211928,2022-03-03
56,86565,217525,2022-12-16
57,22624,404550,2022-02-03
58,330002,118753,2022-07-04
59,33523,114012,2022-05-16
60,395242,427468,2022-10-09
61,246654,370297,2022-05-17
62,171352,294257,2022-12-12
63,324577,418732,2022-09-05
64,255429,394912,2022-11-06
65,241133,269472,2022-02-04
66,492942,276898,2022-06-28
67,279181,300702,2022-04-29
68,379180,74285,2022-11-14
69,490368,321191,2022-04-28
70,484151,88967,2022-10-14
71,164059,390702,2022-01-05
72,65613,279956,2022-02-07
73,261269,157234,2022-01-09
74,473101,48774,2022-08-26
75,128219,272726,2022-08-21
76,344237,150157,2022-06-15
77,401371,351518,2022-05-31
78,175715,393538,2022-02-28
79,240880,112018,2022-06-17
80,126236,392450,2022-01-19
81,378549,72217,2022-07-25
82,459707,289218,2022-01-31
83,163309,136691,2022-05-24
84,166223,141298,2022-12-08
85,302618,154554,2022-04-10
86,301214,137731,2022-10-29
87,107994,449559,2022-05-29
88,49120,99435,2022-04-22
89,45846,157554,2022-03-13
